batsman,runs,deliveries_faced,outs,dots,singles,doubles,threes,fours,sixers,bowled,catches,run_outs
Harmeet Singh,18,12,2,5,2,2,0,3,0,1,1,0
Harpreet Brar,20,12,0,3,6,0,0,2,1,0,0,0
Harpreet Singh,20,26,2,8,16,2,0,0,0,0,1,0
I Malhotra,7,4,0,0,3,0,0,1,0,0,0,0
I Sharma,55,61,7,29,21,3,0,4,2,2,2,2
I Udana,15,11,3,4,5,0,0,1,1,0,3,0
IC Pandey,0,2,1,2,0,0,0,0,0,1,0,0
IK Pathan,1139,943,53,303,405,76,2,87,37,9,31,9
IR Jaggi,76,97,5,46,36,5,2,6,0,1,4,0
IS Sodhi,7,17,2,10,7,0,0,0,0,0,2,0
Imran Tahir,33,37,4,20,9,2,0,5,0,1,2,1
Iqbal Abdulla,88,82,1,28,33,6,0,9,1,0,1,0
Ishan Kishan,1211,883,40,326,340,43,0,100,64,7,29,3
J Arunkumar,23,23,3,14,3,0,0,5,0,0,2,1
J Botha,409,358,22,126,142,37,2,39,5,7,9,4
J Suchith,54,47,2,19,16,5,0,4,2,0,1,1
J Syed Mohammad,29,26,2,10,11,1,0,4,0,0,2,0
J Theron,10,12,2,5,6,0,0,1,0,0,1,1
J Yadav,6,10,0,4,6,0,0,0,0,0,0,0
JA Morkel,974,682,40,211,285,55,1,61,54,10,25,4
JC Archer,195,120,13,40,46,10,0,11,12,2,9,1
JC Buttler,1714,1144,48,391,393,89,2,167,77,10,32,2
JD Ryder,604,455,29,180,145,30,3,67,19,7,17,3
JD Unadkat,64,67,8,26,30,2,0,6,1,2,3,2
JDP Oram,106,107,8,46,46,3,0,6,5,2,5,0
JDS Neesham,61,64,5,30,19,9,0,3,2,0,5,0
JE Taylor,3,3,0,1,1,1,0,0,0,0,0,0
JEC Franklin,327,300,11,109,129,22,0,25,9,1,10,0
JH Kallis,2427,2213,89,878,884,113,8,254,44,19,60,9
JJ Bumrah,40,40,4,14,18,4,0,2,1,0,2,2
JJ Roy,179,134,6,52,47,6,0,18,8,2,3,0
JJ van der Wath,18,16,2,7,6,1,0,1,1,1,1,0
JL Denly,0,1,1,1,0,0,0,0,0,1,0,0
JL Pattinson,15,13,1,4,7,0,0,2,0,0,1,0
JM Bairstow,790,553,20,199,186,43,5,79,31,9,10,1
JM Kemp,26,24,2,10,9,2,1,1,1,1,0,0
JO Holder,104,84,7,34,30,4,0,9,5,0,5,2
JP Duminy,2029,1631,49,480,778,126,6,126,79,11,30,4
JP Faulkner,527,384,27,120,157,41,1,36,23,6,18,2
JPR Scantlebury-Searles,8,6,1,3,2,0,0,0,1,0,1,0
JR Hopes,417,305,17,110,114,19,1,49,11,2,13,2
JR Philippe,78,77,4,34,28,4,0,9,1,1,2,0
Jaskaran Singh,8,11,2,5,4,2,0,0,0,0,1,1
Joginder Sharma,36,30,4,10,14,3,0,1,2,1,1,1
K Goel,218,231,14,114,71,11,1,17,9,3,7,3
K Gowtham,186,110,13,37,32,12,2,13,12,0,12,1
K Rabada,125,128,9,56,49,8,0,9,4,3,5,1
K Upadhyay,12,9,0,3,4,1,0,0,1,0,0,0
KA Pollard,3023,2005,106,670,758,131,8,195,195,22,75,8
KAJ Roach,10,9,1,3,4,1,0,1,0,1,0,0
KB Arun Karthik,51,51,5,17,20,3,1,4,1,1,2,1
KC Cariappa,24,21,3,8,10,1,0,0,2,3,0,0
KC Sangakkara,1687,1385,69,484,562,81,5,195,26,16,40,6
KD Karthik,3823,2942,152,961,1216,217,6,375,105,37,91,17
KH Pandya,1000,702,38,233,259,56,3,95,40,3,31,0
KJ Abbott,13,8,1,3,2,1,1,0,1,0,1,0
KK Ahmed,0,3,2,3,0,0,0,0,0,1,0,1
KK Cooper,116,67,9,26,15,8,0,9,8,1,7,0
KK Nair,1480,1151,63,424,421,82,5,159,39,19,37,4
KL Nagarkoti,22,31,3,14,14,2,0,1,0,2,1,0
KL Rahul,2647,1943,62,641,791,141,4,234,104,21,35,4
KM Jadhav,1141,907,50,305,395,55,1,97,38,10,30,7
KMA Paul,18,24,4,13,6,1,0,1,1,3,1,0
KMDN Kulasekara,5,3,0,0,1,0,0,1,0,0,0,0
KP Appanna,2,4,1,1,2,0,0,0,0,0,0,1
KP Pietersen,1001,742,29,257,283,48,4,91,40,10,12,3
KS Williamson,1619,1197,41,348,545,88,6,137,54,5,31,2
KV Sharma,317,274,21,94,114,22,1,18,14,3,15,3
KW Richardson,36,39,3,17,16,3,0,2,1,0,2,0
Kamran Akmal,128,77,4,31,20,4,0,12,8,0,3,1
Kamran Khan,3,5,1,3,1,1,0,0,0,0,1,0
Karanveer Singh,12,17,1,9,6,1,0,1,0,1,0,0
Kartik Tyagi,4,6,1,2,4,0,0,0,0,0,0,0
Kuldeep Yadav,57,75,4,38,25,6,0,5,0,2,1,1
L Ablish,0,2,0,2,0,0,0,0,0,0,0,0
L Balaji,36,49,7,25,15,2,1,2,1,3,3,1
L Ronchi,34,34,3,23,4,0,0,6,1,0,2,1
LA Carseldine,81,66,3,26,22,4,2,11,0,1,0,1
LA Pomersbach,302,243,11,92,84,18,1,25,13,4,5,1
LE Plunkett,1,3,1,2,1,0,0,0,0,0,1,0
LH Ferguson,44,30,1,6,14,4,0,4,1,0,0,1
LJ Wright,106,59,4,19,20,2,0,15,3,0,4,0
