success,timestamp,date,base,rates.INR,rates.RUTH,rates.XCU,rates.ALU,rates.NI,rates.ZNC,rates.TIN,rates.LCO,rates.BSD,rates.BTN,rates.BWP,rates.BYN,rates.BYR
TRUE,1629885780,25-08-2021,USD,74.27052019,0.00133372,3.732400932,12.14477791,1.668996935,10.85800592,0.941511723,0.04310642,1.000388582,73.30076557,11.25824299,2.504933019,
TRUE,1629885780,25-08-2021,USD,74.27052019,0.00133372,3.732400932,12.14477791,1.668996935,10.85800592,0.941511723,0.04310642,1.000388582,73.30076557,11.25824299,2.504933019,
TRUE,1629885780,25-08-2021,USD,74.27052019,0.00133372,3.732400932,12.14477791,1.668996935,10.85800592,0.941511723,0.04310642,1.000388582,73.30076557,11.25824299,2.504933019,
TRUE,1629886740,25-08-2021,USD,74.27511182,0.00133392,3.734141791,12.1486731,1.66846244,10.86538841,0.940947352,0.043108574,1.00005874,73.29930074,11.25340577,2.503856522,
TRUE,1629887040,25-08-2021,USD,74.25690578,0.00133464,3.731195526,12.14629632,1.667260953,10.86582267,0.941116663,0.043109866,1.000508524,73.31028695,11.25261831,2.505008123,
TRUE,1629887340,25-08-2021,USD,74.24821874,0.001334307,3.729295282,12.1441149,1.668111845,10.86441131,0.940787447,0.043118053,1.000048745,73.27659589,11.25183086,2.504407288,
TRUE,1629887640,25-08-2021,USD,74.26880693,0.001334187,3.730226055,12.13380645,1.667778502,10.86006867,0.941314193,0.043090047,0.999748889,73.29490625,11.2581305,2.503731348,
TRUE,1629887940,25-08-2021,USD,74.28291166,0.00133384,3.731295433,12.14265889,1.666944278,10.86538841,0.941079039,0.04310168,1.000248649,73.25022897,11.25194335,2.504732741,
TRUE,1629888240,25-08-2021,USD,74.2630794,0.001333827,3.730088578,12.14205222,1.667827635,10.85865732,0.940778041,0.043115467,0.999928803,73.30955454,11.25183086,2.505734133,
TRUE,1629888540,25-08-2021,USD,74.29482936,0.001333867,3.729828731,12.13804818,1.666960945,10.86039437,0.941163694,0.043102973,1.000108716,73.25096139,11.2511559,2.504707706,
TRUE,1629888900,25-08-2021,USD,74.27680587,0.001333627,3.733159245,12.14435757,1.668095375,10.86451988,0.941032008,0.043095648,0.999718904,73.30369522,11.25239333,2.505058193,
TRUE,1629889200,25-08-2021,USD,74.2671549,0.001333653,3.732301597,12.14314423,1.668578847,10.86256569,0.940778041,0.043120207,0.999988774,73.29417384,11.25666808,2.505433715,
TRUE,1629889440,25-08-2021,USD,74.24755093,0.001333507,3.729232203,12.13755859,1.668630068,10.85996011,0.941022602,0.04309134,0.999958788,73.27366623,11.2581305,2.504682671,
TRUE,1629889620,25-08-2021,USD,74.27204943,0.001333893,3.735896419,12.14253425,1.669080768,10.86223999,0.940919134,0.043119776,1.000438557,73.27146899,11.25239333,2.505608959,
